,source,bmaj,bmin,jyfile,noise,noise_ra,noise_dec
0,NGC0337,9.528282036,9.528282036,/lustre/cv/students/adignan/data/NGC0337/Jyperbeam_NGC0337_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_M_PdoCals_dt20_map_iter1.fits,4.275795368266e-4,0:59:52.4119065250,-7:36:16.3556091789
1,NGC0628,11.33626775,11.33626775,/lustre/cv/students/adignan/data/NGC0628/Jyperbeam_NGC0628_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_L_PdoCals_dt20_map_iter1.fits,3.594497767865e-4,1:36:42.2393480598,15:45:01.3830093989
2,NGC0925,10.72432978,10.72432978,/lustre/cv/students/adignan/data/NGC0925/Jyperbeam_NGC0925_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_L_PdoCals_dt20_map_iter1.fits,8.802282275526e-4,2:27:17.0957236362,33:33:09.5457644971
3,NGC2146,9.517044328,9.517044328,/lustre/cv/students/adignan/data/NGC2146/Jyperbeam_NGC2146_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_M_PdoCals_dt20_map_iter1.fits,4.746273321803e-4,6:18:47.8663719385,78:23:28.9616631801
4,NGC2798,9.846106136,9.846106136,/lustre/cv/students/adignan/data/NGC2798/Jyperbeam_NGC2798_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_M_PdoCals_dt20_map_iter1.fits,3.774246241209e-4,9:17:27.7270675761,41:59:07.2947488214
5,NGC2841,9.155348908,9.155348908,/lustre/cv/students/adignan/data/NGC2841/Jyperbeam_NGC2841_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_L_PdoCals_dt20_map_iter1.fits,4.375382284469e-4,9:21:54.8530732368,50:58:34.2572385310
6,NGC3049,11.00955754,11.00955754,/lustre/cv/students/adignan/data/NGC3049/Jyperbeam_NGC3049_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_M_PdoCals_dt20_map_iter1.fits,4.735476059835e-4,9:54:49.6448240100,9:14:57.8620347575
7,NGC3184,9.213395613,9.213395613,/lustre/cv/students/adignan/data/NGC3184/Jyperbeam_NGC3184_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_M_PdoCals_dt20_map_iter1.fits,4.480583031228e-4,10:18:11.1087876581,41:24:32.6657963313
8,NGC3190,9.970366493,9.970366493,/lustre/cv/students/adignan/data/NGC3190/Jyperbeam_NGC3190_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_M_PdoCals_dt20_map_iter1.fits,4.202791379401e-4,10:17:59.4078663827,21:49:44.0730437933
9,NGC3198,9.003855883,9.003855883,/lustre/cv/students/adignan/data/NGC3198/Jyperbeam_NGC3198_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_L_PdoCals_dt20_map_iter1.fits,4.526892002022e-4,10:20:03.0122367814,45:32:58.4256752189
10,NGC3351,10.57180583,10.57180583,/lustre/cv/students/adignan/data/NGC3351/Jyperbeam_NGC3351_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_M_PdoCals_dt20_map_iter1.fits,3.678898550708e-4,10:43:57.8963382916,11:43:31.6375829476
11,NGC3521,9.177478184,9.177478184,/lustre/cv/students/adignan/data/NGC3521/Jyperbeam_NGC3521_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_L_PdoCals_dt20_map_iter1.fits,4.423258098311e-4,11:05:57.0078945651,-0:01:59.3235363375
12,NGC3627,10.3832232,10.3832232,/lustre/cv/students/adignan/data/NGC3627/Jyperbeam_NGC3627_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_L_PdoCals_dt20_map_iter1.fits,2.697739185194e-3,11:20:14.2945163994,12:57:36.3162271479
13,NGC3773,11.11103706,11.11103706,/lustre/cv/students/adignan/data/NGC3773/Jyperbeam_NGC3773_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_L_PdoCals_dt20_map_iter1.fits,4.439945466079e-4,11:38:17.2767653356,12:05:52.2541890887
14,NGC3938,9.945804229,9.945804229,/lustre/cv/students/adignan/data/NGC3938/Jyperbeam_NGC3938_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_M_PdoCals_dt20_map_iter1.fits,4.867006547957e-4,11:52:54.7629473092,44:07:15.5923060973
15,NGC4254,10.6818,10.6818,/lustre/cv/students/adignan/data/NGC4254/Jyperbeam_NGC4254_2asp_pca0_qm2_fitel_0f070-to-41f1Hz_1p0rr_M_dt20_map_iter1_editted.fits,3.192593758468e-4,12:18:57.1928343238,14:23:34.3242263646
16,NGC4321,11.6075,11.6075,/lustre/cv/students/adignan/data/NGC4321/Jyperbeam_NGC4321_2asp_pca0_qm2_fitel_0f070-to-41f1Hz_1p0rr_L_dt20_map_iter1_editted.fits,6.164586003708e-4,12:22:49.1990177346,15:49:21.9953497629
17,NGC4569,10.8221,10.8221,/lustre/cv/students/adignan/data/NGC4569/Jyperbeam_NGC4569_2asp_pca0_qm2_fitel_0f070-to-41f1Hz_1p0rr_M_dt20_map_iter1_editted.fits,5.664999420970e-4,12:36:44.1736215825,13:09:50.4949321014
18,NGC4579,11.2778,11.2778,/lustre/cv/students/adignan/data/NGC4579/Jyperbeam_NGC4579_2asp_pca0_qm2_fitel_0f070-to-41f1Hz_1p0rr_L_dt20_map_iter1_editted.fits,5.398375497778e-4,12:37:35.1535576257,11:49:11.7786393851
19,NGC4594,10.3138,10.3138,/lustre/cv/students/adignan/data/NGC4594/Jyperbeam_NGC4594_2asp_pca0_qm2_fitel_0f070-to-41f1Hz_1p0rr_L_dt20_map_iter1_editted.fits,3.716303765889e-4,12:40:08.1527697272,-11:37:17.5985348565
20,NGC4725,9.9601,9.9601,/lustre/cv/students/adignan/data/NGC4725/Jyperbeam_NGC4725_2asp_pca0_qm2_fitel_0f070-to-41f1Hz_1p0rr_M_dt20_map_iter1_editted.fits,3.337352142060e-4,12:50:26.2935753889,25:29:14.6784780655
21,NGC6946,9.628494722,9.628494722,/lustre/cv/students/adignan/data/NGC6946/Jyperbeam_NGC6946_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_M_PdoCals_dt20_map_iter1.fits,4.649392383191e-4,20:34:50.8596281889,60:10:41.8573953542
22,NGC7331,9.510075503,9.510075503,/lustre/cv/students/adignan/data/NGC7331/Jyperbeam_NGC7331_2asp_pca6_qm2_fitel_0f09-to-41f0Hz_qc_1p2rr_L_PdoCals_dt20_map_iter1.fits,4.458329878161e-4,22:37:11.6519168090,34:24:43.8058361192
23,NGC4536,9.394271274,9.394271274,/lustre/cv/students/adignan/data/NGC4536/Jyperbeam_NGC4536_2asp_pca0_qm2_fitel_0f070-to-41f0Hz_1p0rr_M_dt20_map_iter1_editted.fits,4.359684763638e-4,12:34:22.2185878012,2:11:15.9822780287
24,NGC4559,10.53400104,10.53400104,/lustre/cv/students/adignan/data/NGC4559/Jyperbeam_NGC4559_2asp_pca0_qm2_fitel_0f070-to-41f0Hz_1p0rr_M_dt20_map_iter1_editted.fits,4.875027775552e-4,12:35:56.3000719849,27:57:26.6745755586
25,NGC4625,9.581643685,9.581643685,/lustre/cv/students/adignan/data/NGC4625/Jyperbeam_NGC4625_2asp_pca0_qm2_fitel_0f070-to-41f0Hz_1p0rr_M_dt20_map_iter1_editted.fits,1.746280046843e-3,12:41:50.8664842745,41:16:22.7553069967
26,NGC5194,9.46990354,9.46990354,/lustre/cv/students/adignan/data/NGC5194/Jyperbeam_NGC5194_2asp_pca0_qm2_fitel_0f070-to-41f0Hz_1p0rr_M_dt20AGBT24A_445_01_coadded_map_iter1.fits,7.631715870061e-4,13:29:58.7331217056,47:13:50.7240943933
27,NGC5713,10.31781615,10.31781615,/lustre/cv/students/adignan/data/NGC5713/Jyperbeam_NGC5713_2asp_pca0_qm2_fitel_0f070-to-41f0Hz_1p0rr_M_dt20_map_iter1_editted.fits,5.326672916400e-4,14:40:10.8672270655,-0:16:06.9220355014
28,NGC5474,9.635867502,9.635867502,/lustre/cv/students/adignan/data/NGC5474/Jyperbeam_NGC5474_2asp_pca0_qm2_fitel_0f070-to-41f0Hz_1p0rr_M_dt20_map_iter1_editted.fits,7.231739271972e-4,14:04:59.7046477857,53:39:44.9993373531
29,NGC4631,10.32774895,10.32774895,/lustre/cv/students/adignan/data/NGC4631/Jyperbeam_NGC4631_2asp_pca0_qm2_fitel_0f070-to-41f0Hz_1p0rr_M_dt20_map_iter1_editted.fits,3.556195744253e-4,12:42:07.9315175213,32:33:50.7080581722
